minute,bucket,n,win_rate,win_rate_lo95,win_rate_hi95,avg_fill,edge,flat_roi_pct
1,0.00-0.05%,4435,0.556,0.5414,0.5706,0.4966,0.0595,8.95
1,0.05-0.10%,1332,0.6269,0.6006,0.6525,0.4971,0.1298,24.72
1,0.10-0.20%,537,0.6909,0.6505,0.7285,0.512,0.1789,35.32
1,0.20-0.50%,109,0.7798,0.6932,0.8473,0.5179,0.2619,52.17
2,0.00-0.05%,3531,0.5675,0.5511,0.5838,0.5276,0.0399,5.93
2,0.05-0.10%,1659,0.6426,0.6192,0.6653,0.5662,0.0764,12.6
2,0.10-0.20%,902,0.714,0.6836,0.7425,0.6023,0.1116,19.72
2,0.20-0.50%,310,0.8194,0.7727,0.8582,0.6729,0.1465,24.9
3,0.00-0.05%,3049,0.5467,0.529,0.5643,0.5416,0.0052,-0.14
3,0.05-0.10%,1672,0.6705,0.6476,0.6926,0.6022,0.0683,10.99
3,0.10-0.20%,1206,0.728,0.7022,0.7524,0.6563,0.0717,11.07
3,0.20-0.50%,455,0.8264,0.7889,0.8584,0.7289,0.0974,14.3
3,0.50%+,39,0.9487,0.8311,0.9858,0.8461,0.1027,11.92
4,0.00-0.05%,2743,0.5684,0.5497,0.5868,0.5418,0.0266,4.64
4,0.05-0.10%,1689,0.6625,0.6396,0.6847,0.6129,0.0496,9.1
4,0.10-0.20%,1357,0.7494,0.7257,0.7718,0.683,0.0665,9.15
4,0.20-0.50%,573,0.8551,0.824,0.8816,0.7771,0.078,9.92
4,0.50%+,57,0.9474,0.8563,0.9819,0.8702,0.0772,8.84
5,0.00-0.05%,2567,0.5851,0.5659,0.604,0.5593,0.0258,7.02
5,0.05-0.10%,1600,0.7056,0.6828,0.7274,0.6423,0.0633,11.45
5,0.10-0.20%,1445,0.7744,0.7521,0.7952,0.7169,0.0574,9.48
5,0.20-0.50%,722,0.8906,0.8657,0.9113,0.7944,0.0961,12.69
5,0.50%+,83,0.9639,0.899,0.9876,0.8823,0.0816,8.41
6,0.00-0.05%,2349,0.5947,0.5747,0.6144,0.5682,0.0265,8.69
6,0.05-0.10%,1552,0.721,0.6982,0.7428,0.6649,0.0561,11.16
6,0.10-0.20%,1547,0.8093,0.789,0.8281,0.7441,0.0652,9.74
6,0.20-0.50%,845,0.9018,0.8799,0.9201,0.8249,0.0769,12.34
6,0.50%+,115,0.9652,0.914,0.9864,0.9028,0.0624,7.08
7,0.00-0.05%,2137,0.6065,0.5856,0.627,0.5814,0.025,6.69
7,0.05-0.10%,1590,0.7277,0.7053,0.749,0.6829,0.0448,9.16
7,0.10-0.20%,1565,0.8319,0.8126,0.8497,0.7669,0.065,11.3
7,0.20-0.50%,971,0.9197,0.9009,0.9352,0.8517,0.068,9.86
7,0.50%+,128,0.9766,0.9334,0.992,0.9303,0.0462,4.49
8,0.00-0.05%,2028,0.6045,0.5831,0.6256,0.5849,0.0196,5.33
8,0.05-0.10%,1571,0.7492,0.7272,0.77,0.7024,0.0468,10.51
8,0.10-0.20%,1564,0.844,0.8252,0.8611,0.7965,0.0475,7.57
8,0.20-0.50%,1055,0.945,0.9296,0.9572,0.8754,0.0696,13.18
8,0.50%+,117,0.9744,0.9273,0.9912,0.936,0.0383,3.86
9,0.00-0.05%,1953,0.6231,0.6014,0.6444,0.5829,0.0402,18.3
9,0.05-0.10%,1477,0.7773,0.7553,0.7977,0.7145,0.0627,14.02
9,0.10-0.20%,1642,0.8837,0.8673,0.8983,0.8124,0.0713,12.44
9,0.20-0.50%,1043,0.9473,0.932,0.9593,0.8947,0.0525,8.71
9,0.50%+,121,0.9835,0.9417,0.9955,0.9277,0.0557,12.62
10,0.00-0.05%,1883,0.6235,0.6014,0.6451,0.5899,0.0336,13.54
10,0.05-0.10%,1379,0.797,0.7749,0.8173,0.7367,0.0603,15.09
10,0.10-0.20%,1648,0.9084,0.8935,0.9214,0.8286,0.0798,24.25
10,0.20-0.50%,947,0.9588,0.9442,0.9697,0.9029,0.0559,7.8
10,0.50%+,104,0.9904,0.9475,0.9983,0.9206,0.0698,21.0
11,0.00-0.05%,1733,0.6394,0.6165,0.6616,0.5926,0.0467,17.6
11,0.05-0.10%,1378,0.8244,0.8034,0.8436,0.7622,0.0622,14.09
11,0.10-0.20%,1502,0.9041,0.8882,0.918,0.8448,0.0593,11.76
11,0.20-0.50%,820,0.9695,0.9554,0.9793,0.906,0.0635,11.13
11,0.50%+,64,1.0,0.9434,1.0,0.9305,0.0695,13.35
12,0.00-0.05%,1704,0.6678,0.6451,0.6898,0.6197,0.0482,24.06
12,0.05-0.10%,1212,0.8474,0.826,0.8665,0.7761,0.0712,25.17
12,0.10-0.20%,1219,0.9319,0.9164,0.9447,0.849,0.0829,20.24
12,0.20-0.50%,514,0.9591,0.9384,0.9731,0.9018,0.0573,10.37
12,0.50%+,33,1.0,0.8957,1.0,0.862,0.138,26.42
13,0.00-0.05%,1491,0.6915,0.6676,0.7144,0.6223,0.0692,53.45
13,0.05-0.10%,1004,0.8825,0.8611,0.9009,0.7782,0.1043,37.6
13,0.10-0.20%,816,0.935,0.916,0.95,0.8405,0.0945,20.03
13,0.20-0.50%,271,0.9446,0.9107,0.9662,0.8672,0.0774,30.7
14,0.00-0.05%,1012,0.6245,0.5943,0.6538,0.5886,0.0359,12.54
14,0.05-0.10%,541,0.7763,0.7393,0.8094,0.6833,0.0931,40.25
14,0.10-0.20%,333,0.8799,0.8406,0.9105,0.7592,0.1207,44.09
14,0.20-0.50%,87,0.8506,0.761,0.9105,0.7365,0.1141,67.73
